"","X_id","Institution.Name","Institution.Address","Outbreak.Setting","Type.of.Outbreak","Causative.Agent.1","Causative.Agent.2","Date.Outbreak.Began","Date.Declared.Over","Active"
"1",1,"Ivan Franko Home","767 Royal York Rd","LTCH","Respiratory","COVID-19","","2021-12-31","2022-01-19","N"
"2",2,"The Claremont","305 Balliol St","Retirement Home","Respiratory","COVID-19","","2021-12-31","2022-01-31","N"
"3",3,"University Health Network - Bickle Centre - South 5","130 Dunn Avenue","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-31","2022-01-20","N"
"4",4,"Amica On the Avenue","1066 Avenue Rd","Retirement Home","Respiratory","COVID-19","","2021-12-30","2022-01-25","N"
"5",5,"Baycrest Hospital - 4 East (Psychiatry)","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-30","2022-01-13","N"
"6",6,"Delmanor Prince Edward - 1st, 2nd, 6th Fl & Kitchen","4180 Dundas St W","Retirement Home","Respiratory","COVID-19","","2021-12-30","2022-01-26","N"
"7",7,"Greenview Lodge - 1st Fl","880 Lawrence Ave E","Retirement Home","Respiratory","COVID-19","","2021-12-30","2022-02-04","N"
"8",8,"Labdara Lithuanian Nursing Home - 1st, 2nd & 3rd Fl","5 Resurrection Rd","LTCH","Respiratory","COVID-19","","2021-12-30","2022-02-19","N"
"9",9,"Mon Sheong Scarborough Long Term Care Centre - 2nd Fl","2030 McNicoll Ave","LTCH","Respiratory","COVID-19","","2021-12-30","2022-01-20","N"
"10",10,"North York General Hospital - 5 West","4001 Leslie Street","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-30","2022-01-16","N"
"11",11,"St. Bernard's Residence - 2nd & 3rd Fl","685 Finch Ave W","Retirement Home","Respiratory","COVID-19","","2021-12-30","2022-01-20","N"
"12",12,"Sts. Peter and Paul Residence","221 Milner Ave","Retirement Home","Respiratory","COVID-19","","2021-12-30","2022-02-15","N"
"13",13,"Sunnybrook Health Sciences Centre - Bayview Campus - C6","2075 Bayview Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-30","2022-01-13","N"
"14",14,"Unity Health Toronto - St. Michael's - 9 CC","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-30","2022-01-13","N"
"15",15,"Wexford Residence - 2nd & 7th Fl","1860 Lawrence Ave E","LTCH","Respiratory","COVID-19","","2021-12-30","2022-02-12","N"
"16",16,"Tendercare Living Centre","1020 McNicoll Ave","LTCH","Respiratory","COVID-19","","2021-12-29","2022-03-20","N"
"17",17,"Bill McMurray Residence - Kitchen Area, Dining Area -","180 Sheridan Ave - 3rd, 5th, 6th & 7th Fl","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-02-22","N"
"18",18,"Cedarbrook Lodge Retirement Residence - 2nd & 3rd Fl","520 Markham Rd","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-02-10","N"
"19",19,"Chartwell Guildwood Retirement Residence - 2nd Fl -","65 Livingston Rd - (Memory unit)","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-02-07","N"
"20",20,"Ehatare Retirement Home - 1st, 2nd & 3rd Fl","40 Old Kingston Rd","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-01-28","N"
"21",21,"Garden Court Nursing Home - 1st,2nd Fl & Kitchen","1 Sand Beach Rd","LTCH","Respiratory","COVID-19","","2021-12-29","2022-01-25","N"
"22",22,"Harold and Grace Baker Centre","1 Northwestern Ave","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-02-03","N"
"23",23,"Hillcrest Reactivation Centre","47 Austin Terr","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-29","2022-02-04","N"
"24",24,"Leaside Retirement Residence - 2nd, 3rd Fl & Building 10","10 -14 William Morgan Drive","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-01-31","N"
"25",25,"McNicoll Manor/Moll Berczy Haus - 4th & 5th Fl","1020 McNicoll Ave","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-02-12","N"
"26",26,"Retirement Suites by the Lake","2121 Kingston Rd","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-01-31","N"
"27",27,"Tapestry at Village Gate West - Kitchen/Restaurant & -","15 Summerland Terr - Concierge/Front Desk","Retirement Home","Respiratory","COVID-19","","2021-12-29","2022-02-04","N"
"28",28,"Unity Health Toronto - St. Michael's - 7CCV North","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-29","2022-01-15","N"
"29",29,"Valleyview Residence - 2 East & 3 West","541 Finch Ave W","LTCH","Respiratory","COVID-19","","2021-12-29","2022-02-05","N"
"30",30,"West Park Healthcare Centre - ABIBS","82 Buttonwood Avenue","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-29","2022-01-17","N"
"31",31,"West Park Long Term Care Centre - Humber/York","82 Buttonwood Ave","LTCH","Respiratory","COVID-19","","2021-12-29","2022-01-18","N"
"32",32,"Yee Hong Centre for Geriatric Care - McNicoll - Kitchen","2311 McNicoll Ave - & 5 Fl","LTCH","Respiratory","COVID-19","","2021-12-29","2022-01-20","N"
"33",33,"Annex Retirement Residence","123 Spadina Rd","Retirement Home","Respiratory","COVID-19","","2021-12-28","2022-02-09","N"
"34",34,"Baycrest Apotex Centre - Jewish Home for the Aged","3560 Bathurst St","LTCH","Respiratory","COVID-19","","2021-12-28","2022-02-14","N"
"35",35,"Baycrest Hospital - 6 East","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-28","2022-01-21","N"
"36",36,"Dom Lipa Long Term Care - 1 & 2 West, K Wing -","52 Neilson Dr - Laundry & Kitchen","LTCH","Respiratory","COVID-19","","2021-12-28","2022-02-09","N"
"37",37,"Elm Grove Living Centre","35 Elm Grove Ave","LTCH","Respiratory","COVID-19","","2021-12-28","2022-01-28","N"
"38",38,"Extendicare Guildwood","60 Guildwood Pky","LTCH","Respiratory","COVID-19","","2021-12-28","2022-02-15","N"
"39",39,"Extendicare Rouge Valley","551 Conlins Rd","LTCH","Respiratory","COVID-19","","2021-12-28","2022-02-12","N"
"40",40,"North York General Hospital - General Site - 6 West","4001 Leslie Street","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-28","2022-01-07","N"
"41",41,"Parkland on Eglinton West - 2nd - 5th Fl  West Tower","4650 Eglinton Ave W","Retirement Home","Respiratory","COVID-19","","2021-12-28","2022-02-06","N"
"42",42,"Scarborough Health Network - General Hospital - Tower 6 -","3030 Lawrence Ave E - Palliative Care/Oncology","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-28","2022-01-14","N"
"43",43,"Scarborough Health Network- Scarborough General- 4C Medicine","3030 Lawrence Ave. E.","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-28","2022-02-07","N"
"44",44,"Sunnybrook Health Sciences Centre - Veterans Centre -","2075 Bayview Ave - LSSE","LTCH","Respiratory","COVID-19","","2021-12-28","2022-01-21","N"
"45",45,"West Park  Healthcare Centre - Food Services Department","82 Buttonwood Avenue","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-28","2022-01-16","N"
"46",46,"Carefree Lodge","306 Finch Ave E","LTCH","Respiratory","COVID-19","","2021-12-27","2022-02-09","N"
"47",47,"Centre for Addiction and Mental Health - Unit 3-3 Forensics","1001 Queen Street West","Hospital-Psychiatric","Respiratory","COVID-19","","2021-12-27","2022-01-27","N"
"48",48,"Chartwell Scarlett Heights Retirement Residence - 1st & 2nd","4005 Eglinton Ave W","Retirement Home","Respiratory","COVID-19","","2021-12-27","2022-02-04","N"
"49",49,"Cheltenham Care Community - 1st & 3rd Fl","5935 Bathurst St","LTCH","Respiratory","COVID-19","","2021-12-27","2022-02-08","N"
"50",50,"Kensington Gardens - South Building 1E, 2E, 3E, 4E, 1W, 2W -","25 Brunswick Ave - 4W","LTCH","Respiratory","COVID-19","","2021-12-27","2022-02-04","N"
"51",51,"New Horizons Tower - Basement, Kitchen/Dining, 2nd & 3rd Fl","1140 Bloor St W","Retirement Home","Respiratory","COVID-19","","2021-12-27","2022-02-02","N"
"52",52,"Queens Estate Retirement Residence","265 Queens Dr","Retirement Home","Respiratory","COVID-19","","2021-12-27","2022-01-31","N"
"53",53,"Sunnybrook Health Sciences Centre - Veterans Centre -","2075 Bayview Ave - LTSE","LTCH","Respiratory","COVID-19","","2021-12-27","2022-01-23","N"
"54",54,"Craiglee Nursing Home - 3 West","102 Craiglee Dr","LTCH","Respiratory","COVID-19","","2021-12-26","2022-02-02","N"
"55",55,"Fudger House - Basement Kitchen, 1E, 2E, 3E, 1W, 2W & 3W","439 Sherbourne St","LTCH","Respiratory","COVID-19","","2021-12-26","2022-02-03","N"
"56",56,"Isabel and Arthur Meighen Manor (Salvation Army) - 2S, 3S &-","155 Millwood Rd - 4N","LTCH","Respiratory","COVID-19","","2021-12-26","2022-02-10","N"
"57",57,"Kennedy Lodge - Main North, 2 North, 3 South & 3 North","1400 Kennedy Rd","LTCH","Respiratory","COVID-19","","2021-12-26","2022-02-04","N"
"58",58,"Kensington Place Retirement Residence","866 Sheppard Ave W","Retirement Home","Respiratory","COVID-19","","2021-12-26","2022-02-14","N"
"59",59,"St. Clair O'Connor Community Nursing Home","2701 St Clair Avenue East","LTCH","Respiratory","COVID-19","","2021-12-26","2022-01-31","N"
"60",60,"The Dunfield Retirement Residence - 3rd, 4th & 10th Fl","77 Dunfield Ave","Retirement Home","Respiratory","COVID-19","","2021-12-26","2022-01-31","N"
"61",61,"West Park Healthcare Centre - 3EC (Neuro Rehab)","82 Buttonwood Avenue","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-26","2022-01-16","N"
"62",62,"Castleview Wychwood Tower - Unit 4C","351 Christie St","LTCH","Respiratory","COVID-19","","2021-12-25","2022-03-07","N"
"63",63,"Humber River Hospital - Wilson - Purchasing Department","1235 Wilson Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-25","2022-01-06","N"
"64",64,"McCowan Retirement Residence - 6th Fl","2881 Eglinton Ave E","Retirement Home","Respiratory","COVID-19","","2021-12-25","2022-01-28","N"
"65",65,"Norfinch Care Community","22 Norfinch Dr","LTCH","Respiratory","COVID-19","","2021-12-25","2022-02-12","N"
"66",66,"Rockcliffe Care Community","3015 Lawrence Ave E","LTCH","Respiratory","COVID-19","","2021-12-25","2022-02-07","N"
"67",67,"Baycrest Hospital - 7 West","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-24","2022-01-08","N"
"68",68,"Baycrest Hospital - H6 West Palliative","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-24","2022-01-25","N"
"69",69,"Bendale Acres","2920 Lawrence Ave E","LTCH","Respiratory","COVID-19","","2021-12-24","2022-02-25","N"
"70",70,"Hazelton Place Retirement Residence","111 Avenue Rd","Retirement Home","Respiratory","COVID-19","","2021-12-24","2022-02-01","N"
"71",71,"Midland Gardens Care Community - 3rd Fl","130 Midland Ave","LTCH","Respiratory","COVID-19","","2021-12-24","2022-02-24","N"
"72",72,"Nisbet Lodge - Dietary, Laundry Department & 7th Fl","740 Pape Ave","LTCH","Respiratory","COVID-19","","2021-12-24","2022-02-01","N"
"73",73,"Sinai Health System - Hennick Bridgepoint Hospital - 4N","14 St. Matthews Road","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-24","2022-01-13","N"
"74",74,"The Briton House - 9th Fl","700 & 720 Mount Pleasant Rd","Retirement Home","Respiratory","COVID-19","","2021-12-24","2022-02-10","N"
"75",75,"Ukrainian Canadian Care Centre - 1st, 2nd, 3rd & 4th Fl","60 Richview Rd","LTCH","Respiratory","COVID-19","","2021-12-24","2022-02-07","N"
"76",76,"Unity Health Toronto - St. Michael's - MSICU","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-24","2022-01-12","N"
"77",77,"University Health Network - Toronto General -","200 Elizabeth Street - In-Centre Hemodialysis","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-24","2022-02-02","N"
"78",78,"Amica Bayview Gardens - 2nd Fl","19 Rean Dr","Retirement Home","Respiratory","COVID-19","","2021-12-23","2022-02-06","N"
"79",79,"Better Living at Thompson House - 2nd Fl","1 Overland Dr","LTCH","Respiratory","COVID-19","","2021-12-23","2022-02-15","N"
"80",80,"Chartwell Grenadier Retirement Residence - B6, C6 -","2100 Bloor St W - & Main Kitchen","LTCH","Respiratory","COVID-19","","2021-12-23","2022-02-22","N"
"81",81,"Chartwell Westbury Long Term Care Residence","495 The West Mall","LTCH","Respiratory","COVID-19","","2021-12-23","2022-02-09","N"
"82",82,"Copernicus Lodge - 3, 5 & 6 South, 1st, 2nd & 4th Fl -","66 Roncesvalles Ave - Admin Area & Kitchen","LTCH","Respiratory","COVID-19","","2021-12-23","2022-03-08","N"
"83",83,"Fairview Nursing Home - 1st, 2nd & 3rd Fl","14 Cross St","LTCH","Respiratory","COVID-19","","2021-12-23","2022-02-08","N"
"84",84,"Fieldstone Commons Care Community","1000 Ellesmere Rd","LTCH","Respiratory","COVID-19","","2021-12-23","2022-03-06","N"
"85",85,"Fountain View Care Community - 2B, 3A & 3B","1800 O'Connor Dr","LTCH","Respiratory","COVID-19","","2021-12-23","2022-01-25","N"
"86",86,"Harold and Grace Baker Centre","1 Northwestern Ave","LTCH","Respiratory","COVID-19","","2021-12-23","2022-02-07","N"
"87",87,"Main Street Terrace - 3rd Fl","77 Main St","LTCH","Respiratory","COVID-19","","2021-12-23","2022-02-10","N"
"88",88,"Reactivation Care Centre - Sunnybrook Church Site - A3N","200 Church St","Hospital-Chronic Care","Respiratory","COVID-19","","2021-12-23","2022-01-11","N"
"89",89,"Scarborough Health Network - General Hospital - T9 Medicine","3030 Lawrence Ave. E.","Hospital-Acute Care","Respiratory","COVID-19","","2021-12-23","2022-01-12","N"
